AÑO;Ene.;Feb.;Mar.;Abr.;May.;Jun.;Jul.;Ago.;Sep.;Oct.;Nov.;Dic.
2008;3511,05;3989,42;4143,55;5599,11;5874,72;6103,12;6161,41;6372,31;6511,45;6273,56;6011,5;4473,07
2009;4271,62;3996,51;3244,07;3142,26;2594,4;2675,02;3151,78;3921,6;4624,71;4604,79;5236,67;3792,05
2010;3918,2;3602,99;4007,1;4321,99;4575,33;4103,54;3857,6;3490,4;4353,37;3668,88;3451,12;2622,05
2011;2869,45;3906,94;3947,49;4164,84;3884,34;3841,49;3980,67;4124,62;3635,42;4548,59;4093,68;2957,62
2012;3371,38;3375,54;3368,09;3787,39;3918,08;3930,92;4040,3;4218,81;4883,43;4033,19;3442,96;2482,53
2013;2827,1;4212,81;4373,03;4660,87;4191,1;3760,54;3670,01;4508,12;4233,5;4206;4051,06;4360,52
2014;4182,73;4332,41;3976,25;3568,89;4010,31;5822,39;5557,39;6171,2;6689,23;6002,57;5863,3;3949,07
2015;3654,69;3717,3;3667,74;3439,93;4567,46;4739,19;4771,97;4201,41;3511,56;3308,36;3126,32;2495,96
2016;3207,36;3341,64;2573,07;2485,02;2158,55;3572,84;4295,86;4166,72;4472,93;4274,63;3907,34;4258,85
2017;4889,05;4774,36;3809,62;3236,12;2790,04;4467,15;4260,91;3650,48;2362,67;4806,59;4018,47;2451,07
2018;5706,59;5406,78;4868,08;4260,35;3752,03;3166,74;3128,47;3050,2;2693,01;2730,36;2382,24;2676,53
